;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;;;
11h00;;;;;;
13h30;;;;;;
14h30;;;;;;
15h30;;;;;;
16h30;;;;;;
18h20;62 Sistemas_Distribuidos SI 7 HELDER_DE_AMORIM_MENDES S-70 O-20 ;75 Trabalho_de_Conclusao_de_Curso_em_Sistemas_de_Informacao_II SI 9 EDMAR_HELL_KAMPKE S-70 O-10 ;112 Libras SI 9 ALINE_DE_MENEZES S-70 O-20 ;;113 Libras SI 9 ALINE_DE_MENEZES S-70 O-20 ;
19h10;62 Sistemas_Distribuidos SI 7 HELDER_DE_AMORIM_MENDES S-70 O-20 ;75 Trabalho_de_Conclusao_de_Curso_em_Sistemas_de_Informacao_II SI 9 EDMAR_HELL_KAMPKE S-70 O-10 ;112 Libras SI 9 ALINE_DE_MENEZES S-70 O-20 ;;113 Libras SI 9 ALINE_DE_MENEZES S-70 O-20 ;
20h00;55 Sistemas_Operacionais SI 5 JACSON_RODRIGUES_CORREIA_DA_SILVA S-70 O-20 ;48 Sistema_de_Apoio_a_Decisao SI 3 SIMONE_DORNELAS_COSTA S-70 O-40 ;60 Informatica_e_Sociedade SI 7 LARICE_NOGUEIRA_DE_ANDRADE S-70 O-30 ;58 Interface_Humano-Computador SI 5 SIMONE_DORNELAS_COSTA S-70 O-20 ;65 Seguranca_e_Auditoria_de_Sistemas SI 7 SIMONE_DORNELAS_COSTA S-70 O-20 ;
21h00;55 Sistemas_Operacionais SI 5 JACSON_RODRIGUES_CORREIA_DA_SILVA S-70 O-20 ;48 Sistema_de_Apoio_a_Decisao SI 3 SIMONE_DORNELAS_COSTA S-70 O-40 ;60 Informatica_e_Sociedade SI 7 LARICE_NOGUEIRA_DE_ANDRADE S-70 O-30 ;58 Interface_Humano-Computador SI 5 SIMONE_DORNELAS_COSTA S-70 O-20 ;65 Seguranca_e_Auditoria_de_Sistemas SI 7 SIMONE_DORNELAS_COSTA S-70 O-20 ;
21h50;;;;;;
