;SEG;TER;QUA;QUI;SEX;
07h00;70 Informatica AG 1 ROMULO S-40 O-40 ;;;;;
08h00;70 Informatica AG 1 ROMULO S-40 O-40 ;;;;;
09h00;70 Informatica AG 1 ROMULO S-40 O-40 ;;;;;
10h00;;;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;;;
11h00;;;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;;;
13h30;;;3 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;;2 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;
14h30;;;3 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;;2 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;
15h30;24 Computacao_Grafica CC 6 FABRICIO S-40 O-30 ;;;;;
16h30;24 Computacao_Grafica CC 6 FABRICIO S-40 O-30 ;;;;;
18h20;;66 Gestao_Qualidade_de_Software SI 8 ANDRE S-40 O-20 ;;;67 Gestao_Qualidade_de_Software SI 8 ANDRE S-40 O-20 ;
19h10;;66 Gestao_Qualidade_de_Software SI 8 ANDRE S-40 O-20 ;;;67 Gestao_Qualidade_de_Software SI 8 ANDRE S-40 O-20 ;
20h00;;75 Programacao_I SI 1 ROMULO S-40 O-30 ;54 Gerencia_de_Projeto_de_Software SI 6 ANDRE S-40 O-20 ;51 Programacao_II SI 4 BRUNO_VILELA_OLIVEIRA S-40 O-30 ;64 Gerenciamento_Administracao_Redes SI 8 HELDER_DE_AMORIM_MENDES S-40 O-20 ;
21h00;;75 Programacao_I SI 1 ROMULO S-40 O-30 ;54 Gerencia_de_Projeto_de_Software SI 6 ANDRE S-40 O-20 ;51 Programacao_II SI 4 BRUNO_VILELA_OLIVEIRA S-40 O-30 ;64 Gerenciamento_Administracao_Redes SI 8 HELDER_DE_AMORIM_MENDES S-40 O-20 ;
21h50;;;;;;
