;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;;;
11h00;;;;;;
13h30;;;;;;
14h30;;;;;;
15h30;;;;;;
16h30;;;;;;
18h20;65 Seguranca_e_Auditoria_de_Sistemas SI 7 SIMONE_DORNELAS_COSTA S-70 O-20 ;;112 Libras SI 9 ALINE_DE_MENEZES S-70 O-20 ;;113 Libras SI 9 ALINE_DE_MENEZES S-70 O-20 ;
19h10;65 Seguranca_e_Auditoria_de_Sistemas SI 7 SIMONE_DORNELAS_COSTA S-70 O-20 ;;112 Libras SI 9 ALINE_DE_MENEZES S-70 O-20 ;;113 Libras SI 9 ALINE_DE_MENEZES S-70 O-20 ;
20h00;;;37 Introducao_aos_Sistemas_de_Informacao SI 1 SI 1 EDMAR_HELL_KAMPKE S-70 O-70 ;58 Interface_Humano-Computador SI 5 SIMONE_DORNELAS_COSTA S-70 O-20 ;;
21h00;;;37 Introducao_aos_Sistemas_de_Informacao SI 1 SI 1 EDMAR_HELL_KAMPKE S-70 O-70 ;58 Interface_Humano-Computador SI 5 SIMONE_DORNELAS_COSTA S-70 O-20 ;;
21h50;;;;;;
