;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;30 Sistemas_Distribuidos CC 6 FABRICIO S-40 O-20 ;
09h00;;;;;30 Sistemas_Distribuidos CC 6 FABRICIO S-40 O-20 ;
10h00;;;;;;
11h00;;;;;;
13h30;;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;34 Topicos_Especiais_Inteligencia_Artificial CC 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;29 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;;
14h30;;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;34 Topicos_Especiais_Inteligencia_Artificial CC 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;29 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;;
15h30;77 Logica_e_Tecnica_de_Programacao EA 3 LEANDRO S-40 O-40 ;;37 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;;24 Computacao_Grafica CC 6 FABRICIO S-40 O-30 ;
16h30;77 Logica_e_Tecnica_de_Programacao EA 3 LEANDRO S-40 O-40 ;;37 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;;24 Computacao_Grafica CC 6 FABRICIO S-40 O-30 ;
18h20;74 Programacao_I SI 1 ROMULO S-40 O-30 ;53 Gerencia_de_Projeto_de_Software SI 6 ANDRE S-40 O-20 ;67 Gestao_Qualidade_de_Software SI 8 ANDRE S-40 O-20 ;;;
19h10;74 Programacao_I SI 1 ROMULO S-40 O-30 ;53 Gerencia_de_Projeto_de_Software SI 6 ANDRE S-40 O-20 ;67 Gestao_Qualidade_de_Software SI 8 ANDRE S-40 O-20 ;;;
20h00;;;;48 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;;
21h00;;;;48 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;;
21h50;;;;;;
