;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;103 Estatistica CC 5 Maristela S-55 O-30 ;;104 Estatistica CC 5 Maristela S-55 O-30 ;;;
09h00;103 Estatistica CC 5 Maristela S-55 O-30 ;;104 Estatistica CC 5 Maristela S-55 O-30 ;;;
10h00;;;101 Fund_Fisica_III CC 3 Ronald S-55 O-30 ;;;
11h00;;;101 Fund_Fisica_III CC 3 Ronald S-55 O-30 ;;;
13h30;;7 Arquitetura_de_Computadores CC 3 VALERIA_ALVES_DA_SILVA S-55 O-30 ;;16 Engenharia_de_Requisitos_de_Software CC 5 CLAYTON_VIEIRA_FRAGA_FILHO S-55 O-30 ;;
14h30;;7 Arquitetura_de_Computadores CC 3 VALERIA_ALVES_DA_SILVA S-55 O-30 ;;16 Engenharia_de_Requisitos_de_Software CC 5 CLAYTON_VIEIRA_FRAGA_FILHO S-55 O-30 ;;
15h30;96 Ingles_Instrumental CC 1 CC 1 ALEXANDRE_ROSA S-55 O-30 ;;;24 Teoria_da_Computacao CC 5 JULIANA_PINHEIRO_CAMPOS S-55 O-30 ;102 Fund_Fisica_III CC 3 Ronald S-55 O-30 ;
16h30;96 Ingles_Instrumental CC 1 CC 1 ALEXANDRE_ROSA S-55 O-30 ;;;24 Teoria_da_Computacao CC 5 JULIANA_PINHEIRO_CAMPOS S-55 O-30 ;102 Fund_Fisica_III CC 3 Ronald S-55 O-30 ;
18h20;;74 Estagio_em_Informatica SI 9 LARICE_NOGUEIRA_DE_ANDRADE S-55 O-10 ;61 Sistemas_Distribuidos SI 7 HELDER_DE_AMORIM_MENDES S-55 O-20 ;111 ADM_e_Economia SI 7 Clovis S-55 O-40 ;79 Algoritmos_Numericos MA 5 THIAGO_MEIRELES_PAIXAO S-55 O-15 ;
19h10;;74 Estagio_em_Informatica SI 9 LARICE_NOGUEIRA_DE_ANDRADE S-55 O-10 ;61 Sistemas_Distribuidos SI 7 HELDER_DE_AMORIM_MENDES S-55 O-20 ;111 ADM_e_Economia SI 7 Clovis S-55 O-40 ;79 Algoritmos_Numericos MA 5 THIAGO_MEIRELES_PAIXAO S-55 O-15 ;
20h00;47 Engenharia_de_Software SI 3 BRUNO_VILELA_OLIVEIRA S-55 O-30 ;72 Topicos_Especiais_em_Informatica_I SI 9 VALERIA_ALVES_DA_SILVA S-55 O-20 ;49 Sistema_de_Apoio_a_Decisao SI 3 SIMONE_DORNELAS_COSTA S-55 O-40 ;111 ADM_e_Economia SI 7 Clovis S-55 O-40 ;65 Seguranca_e_Auditoria_de_Sistemas SI 7 SIMONE_DORNELAS_COSTA S-55 O-20 ;
21h00;47 Engenharia_de_Software SI 3 BRUNO_VILELA_OLIVEIRA S-55 O-30 ;72 Topicos_Especiais_em_Informatica_I SI 9 VALERIA_ALVES_DA_SILVA S-55 O-20 ;49 Sistema_de_Apoio_a_Decisao SI 3 SIMONE_DORNELAS_COSTA S-55 O-40 ;111 ADM_e_Economia SI 7 Clovis S-55 O-40 ;65 Seguranca_e_Auditoria_de_Sistemas SI 7 SIMONE_DORNELAS_COSTA S-55 O-20 ;
21h50;;;;;;
