;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;COM06851 Matematica_Discreta PC-4 EDMAR_HELL_KAMPKE Vg-40 ;
09h00;;;;;COM06851 Matematica_Discreta PC-4 EDMAR_HELL_KAMPKE Vg-40 ;
10h00;;;;;COM06850 Introducao_a_Ciencia_da_Computacao PC-4 BRUNO_VILELA_OLIVEIRA Vg-40 ;
11h00;;;;;COM06850 Introducao_a_Ciencia_da_Computacao PC-4 BRUNO_VILELA_OLIVEIRA Vg-40 ;
13h30;MPA06839 Calculo_A PN-9 Tharso Vg-30 ;MPA06840 Vet_de_Geometria_Analitica PN-9 Bernado Vg-30 ;MPA06839 Calculo_A PN-9 Tharso Vg-30 ;MPA06840 Vet_de_Geometria_Analitica PN-9 Bernado Vg-30 ;MPA06839 Calculo_A PN-9 Tharso Vg-30 ;
14h30;MPA06839 Calculo_A PN-9 Tharso Vg-30 ;MPA06840 Vet_de_Geometria_Analitica PN-9 Bernado Vg-30 ;MPA06839 Calculo_A PN-9 Tharso Vg-30 ;MPA06840 Vet_de_Geometria_Analitica PN-9 Bernado Vg-30 ;MPA06839 Calculo_A PN-9 Tharso Vg-30 ;
15h30;ENG06849 Ingles_Instrumental PN-1 ALEXANDRE_ROSA Vg-30 ;;;COM06850 Introducao_a_Ciencia_da_Computacao PC-9 BRUNO_VILELA_OLIVEIRA Vg-40 ;;
16h30;ENG06849 Ingles_Instrumental PN-1 ALEXANDRE_ROSA Vg-30 ;;;COM06850 Introducao_a_Ciencia_da_Computacao PC-9 BRUNO_VILELA_OLIVEIRA Vg-40 ;;
18h20;;;;;;
19h10;;;;;;
20h00;;;;;;
21h00;;;;;;
21h50;;;;;;
