;SEG;TER;QUA;QUI;SEX;
07h00;;70 Informatica AG 1 ROMULO S-40 O-40 ;;;;
08h00;;70 Informatica AG 1 ROMULO S-40 O-40 ;;;;
09h00;;70 Informatica AG 1 ROMULO S-40 O-40 ;;;;
10h00;3 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;;;;15 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;
11h00;3 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;;;;15 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;
13h30;;78 Logica_e_Tecnica_de_Programacao GE 7 LEANDRO S-40 O-40 ;2 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;9 Banco_de_Dados CC 4 LEANDRO S-40 O-30 ;;
14h30;;78 Logica_e_Tecnica_de_Programacao GE 7 LEANDRO S-40 O-40 ;2 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;9 Banco_de_Dados CC 4 LEANDRO S-40 O-30 ;;
15h30;24 Computacao_Grafica CC 6 FABRICIO S-40 O-30 ;36 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;32 Topicos_Especiais_Programacao CC 6 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;;
16h30;24 Computacao_Grafica CC 6 FABRICIO S-40 O-30 ;36 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;32 Topicos_Especiais_Programacao CC 6 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;;
18h20;;;72 Programacao_I MA 1 ROMULO S-40 O-28 ;;67 Gestao_Qualidade_de_Software SI 8 ANDRE S-40 O-20 ;
19h10;;;72 Programacao_I MA 1 ROMULO S-40 O-28 ;;67 Gestao_Qualidade_de_Software SI 8 ANDRE S-40 O-20 ;
20h00;;38 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;60 Redes_de_Computadores SI 6 RODRIGO_FREITAS_SILVA S-40 O-20 ;;;
21h00;;38 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;60 Redes_de_Computadores SI 6 RODRIGO_FREITAS_SILVA S-40 O-20 ;;;
21h50;;;;;;
