;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;103 Estatistica CC 5 Maristela S-55 O-30 ;;104 Estatistica CC 5 Maristela S-55 O-30 ;;;
09h00;103 Estatistica CC 5 Maristela S-55 O-30 ;;104 Estatistica CC 5 Maristela S-55 O-30 ;;;
10h00;24 Teoria_da_Computacao CC 5 JULIANA_PINHEIRO_CAMPOS S-55 O-30 ;;101 Fund_Fisica_III CC 3 Ronald S-55 O-30 ;;;
11h00;24 Teoria_da_Computacao CC 5 JULIANA_PINHEIRO_CAMPOS S-55 O-30 ;;101 Fund_Fisica_III CC 3 Ronald S-55 O-30 ;;;
13h30;;10 Logica_Computacional_II CC 3 JULIANA_PINHEIRO_CAMPOS S-55 O-40 ;28 Compiladores CC 7 RODRIGO_FREITAS_SILVA S-55 O-20 ;10 Logica_Computacional_II CC 3 JULIANA_PINHEIRO_CAMPOS S-55 O-40 ;;
14h30;;10 Logica_Computacional_II CC 3 JULIANA_PINHEIRO_CAMPOS S-55 O-40 ;28 Compiladores CC 7 RODRIGO_FREITAS_SILVA S-55 O-20 ;10 Logica_Computacional_II CC 3 JULIANA_PINHEIRO_CAMPOS S-55 O-40 ;;
15h30;96 Ingles_Instrumental CC 1 CC 1 ALEXANDRE_ROSA S-55 O-30 ;;;23 Teoria_da_Computacao CC 5 JULIANA_PINHEIRO_CAMPOS S-55 O-30 ;102 Fund_Fisica_III CC 3 Ronald S-55 O-30 ;
16h30;96 Ingles_Instrumental CC 1 CC 1 ALEXANDRE_ROSA S-55 O-30 ;;;23 Teoria_da_Computacao CC 5 JULIANA_PINHEIRO_CAMPOS S-55 O-30 ;102 Fund_Fisica_III CC 3 Ronald S-55 O-30 ;
18h20;78 Algoritmos_Numericos MA 5 THIAGO_MEIRELES_PAIXAO S-55 O-15 ;63 Comercio_Eletronico SI 7 SIMONE_DORNELAS_COSTA S-55 O-20 ;52 Otimizacao_Linear SI 5 GERALDO_REGIS_MAURI S-55 O-20 ;111 ADM_e_Economia SI 7 Clovis S-55 O-40 ;47 Engenharia_de_Software SI 3 BRUNO_VILELA_OLIVEIRA S-55 O-30 ;
19h10;78 Algoritmos_Numericos MA 5 THIAGO_MEIRELES_PAIXAO S-55 O-15 ;63 Comercio_Eletronico SI 7 SIMONE_DORNELAS_COSTA S-55 O-20 ;52 Otimizacao_Linear SI 5 GERALDO_REGIS_MAURI S-55 O-20 ;111 ADM_e_Economia SI 7 Clovis S-55 O-40 ;47 Engenharia_de_Software SI 3 BRUNO_VILELA_OLIVEIRA S-55 O-30 ;
20h00;;49 Sistema_de_Apoio_a_Decisao SI 3 SIMONE_DORNELAS_COSTA S-55 O-40 ;60 Informatica_e_Sociedade SI 7 LARICE_NOGUEIRA_DE_ANDRADE S-55 O-30 ;111 ADM_e_Economia SI 7 Clovis S-55 O-40 ;58 Interface_Humano-Computador SI 5 SIMONE_DORNELAS_COSTA S-55 O-20 ;
21h00;;49 Sistema_de_Apoio_a_Decisao SI 3 SIMONE_DORNELAS_COSTA S-55 O-40 ;60 Informatica_e_Sociedade SI 7 LARICE_NOGUEIRA_DE_ANDRADE S-55 O-30 ;111 ADM_e_Economia SI 7 Clovis S-55 O-40 ;58 Interface_Humano-Computador SI 5 SIMONE_DORNELAS_COSTA S-55 O-20 ;
21h50;;;;;;
