;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;;;
11h00;;;;;;
13h30;;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;30 Sistemas_Distribuidos CC 6 FABRICIO S-40 O-20 ;;29 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;
14h30;;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;30 Sistemas_Distribuidos CC 6 FABRICIO S-40 O-20 ;;29 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;
15h30;;;;23 Computacao_Grafica CC 6 FABRICIO S-40 O-30 ;;
16h30;;;;23 Computacao_Grafica CC 6 FABRICIO S-40 O-30 ;;
18h20;48 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;;;39 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;73 Programacao_I MA 1 ROMULO S-40 O-28 ;
19h10;48 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;;;39 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;73 Programacao_I MA 1 ROMULO S-40 O-28 ;
20h00;;46 Engenharia_de_Requisitos_de_Software SI 4 ANDRE S-40 O-40 ;;56 Gerenciamento_de_Banco_de_Dados SI 6 LEANDRO S-40 O-20 ;;
21h00;;46 Engenharia_de_Requisitos_de_Software SI 4 ANDRE S-40 O-40 ;;56 Gerenciamento_de_Banco_de_Dados SI 6 LEANDRO S-40 O-20 ;;
21h50;;;;;;
