;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;;;
11h00;;;;;;
13h30;;;;;;
14h30;;;;;;
15h30;;;;;;
16h30;;;;;;
18h20;44 Computabilidade_e_Complexidade SI 3 JULIANA_PINHEIRO_CAMPOS S-65 O-40 ;;47 Engenharia_de_Software SI 3 BRUNO_VILELA_OLIVEIRA S-65 O-30 ;75 Trabalho_de_Conclusao_de_Curso_em_Sistemas_de_Informacao_II SI 9 EDMAR_HELL_KAMPKE S-65 O-10 ;56 Projeto_de_Sistemas_de_Software SI 5 CLAYTON_VIEIRA_FRAGA_FILHO S-65 O-30 ;
19h10;44 Computabilidade_e_Complexidade SI 3 JULIANA_PINHEIRO_CAMPOS S-65 O-40 ;;47 Engenharia_de_Software SI 3 BRUNO_VILELA_OLIVEIRA S-65 O-30 ;75 Trabalho_de_Conclusao_de_Curso_em_Sistemas_de_Informacao_II SI 9 EDMAR_HELL_KAMPKE S-65 O-10 ;56 Projeto_de_Sistemas_de_Software SI 5 CLAYTON_VIEIRA_FRAGA_FILHO S-65 O-30 ;
20h00;;45 Computabilidade_e_Complexidade SI 3 JULIANA_PINHEIRO_CAMPOS S-65 O-40 ;74 Estagio_em_Informatica SI 9 LARICE_NOGUEIRA_DE_ANDRADE S-65 O-10 ;;55 Sistemas_Operacionais SI 5 JACSON_RODRIGUES_CORREIA_DA_SILVA S-65 O-20 ;
21h00;;45 Computabilidade_e_Complexidade SI 3 JULIANA_PINHEIRO_CAMPOS S-65 O-40 ;74 Estagio_em_Informatica SI 9 LARICE_NOGUEIRA_DE_ANDRADE S-65 O-10 ;;55 Sistemas_Operacionais SI 5 JACSON_RODRIGUES_CORREIA_DA_SILVA S-65 O-20 ;
21h50;;;;;;
